Dates,ABBV,NASDAQ,SPX,DJI,10Y Yield,ABBVP,NASDAQP,SPXP,DJIP
29/5/2015,0.016984175,-0.003794956,-0.008776596,-0.012103746,2.12,101.79,70.63,49.08,37.12
5/6/2015,0.012141335,-0.000293032,-0.006909042,-0.008970245,2.41,104.24,70.58,48.05,35.89
12/6/2015,-0.005189973,-0.003458788,0.000607903,0.002796379,2.39,103.18,69.99,48.14,36.27
19/6/2015,0.036273255,0.013059592,0.00762792,0.006531151,2.26,110.55,72.21,49.27,37.16
26/6/2015,0.014105913,-0.007142442,-0.004086555,-0.0038641,2.49,113.52,70.98,48.66,36.63
3/7/2015,-0.031940802,-0.014036729,-0.011704561,-0.012076411,2.4,106.7,68.58,46.92,34.98
10/7/2015,0.014949202,-0.002254123,-0.000136129,0.001703956,2.42,109.79,68.2,46.9,35.21
17/7/2015,0.010963344,0.042508918,0.024098026,0.018415798,2.34,112.09,75.35,50.44,37.7
24/7/2015,-0.027299731,-0.023324779,-0.022068599,-0.028685548,2.27,106.3,71.26,47.12,33.75
31/7/2015,0.028356762,0.00776597,0.011623165,0.006953271,2.2,112.15,72.59,48.83,34.68
7/8/2015,-0.01984445,-0.016513124,-0.01249748,-0.017894268,2.18,107.94,69.74,46.97,32.27
14/8/2015,0.000432817,0.000942618,0.006736069,0.005972632,2.2,108.03,69.9,47.96,33.06
21/8/2015,-0.040042302,-0.067804591,-0.057650716,-0.058244401,2.05,99.7,58.38,39.43,25.31
28/8/2015,-0.029143716,0.026013386,0.009108513,0.011172293,2.19,93.88,62.5,40.7,26.71
4/9/2015,-0.065813906,-0.029907692,-0.034044065,-0.032515192,2.13,81.12,57.64,35.91,22.59
11/9/2015,-0.007011926,0.029561025,0.020749025,0.020556326,2.2,79.85,62.3,38.73,25.11
18/9/2015,0.031526272,0.000985829,-0.001513732,-0.002957397,2.13,85.52,62.46,38.52,24.74
25/9/2015,-0.089532126,-0.029176413,-0.013644239,-0.004248838,2.17,68.91,57.72,36.63,24.21
2/10/2015,0.001420875,0.004565052,0.010319842,0.009661058,1.99,69.15,58.44,38.04,25.41
9/10/2015,-0.003192433,0.02606665,0.032599247,0.037158121,2.12,68.61,62.57,42.54,30.07
16/10/2015,0.015953977,0.011625761,0.009050091,0.007688168,2.04,71.3,64.46,43.83,31.07
23/10/2015,-0.109457093,0.029733674,0.020649378,0.025024796,2.09,52.55,69.35,46.8,34.35
30/10/2015,0.182890855,0.004310599,0.002043597,0.000967622,2.16,80.45,70.08,47.1,34.48
6/11/2015,0.076918814,0.018520696,0.009517335,0.013979774,2.34,94.33,73.23,48.5,36.36
13/11/2015,-0.066587763,-0.042602321,-0.036296296,-0.037180991,2.28,81.39,65.85,43.11,31.29
20/11/2015,0.020894206,0.035936087,0.032702117,0.033589763,2.26,85.18,71.81,47.79,35.7
27/11/2015,-0.018144508,0.004423491,0.000473645,-0.001473839,2.22,81.82,72.57,47.86,35.5
4/12/2015,-0.04702453,0.002839427,0.000743947,0.002804428,2.28,73.27,73.06,47.97,35.88
11/12/2015,-0.054885439,-0.040563966,-0.03791309,-0.03267589,2.13,63.76,66.04,42.36,31.44
18/12/2015,0.031448461,-0.002107926,-0.003371734,-0.007912355,2.19,68.91,65.69,41.88,30.4
25/12/2015,0.048783376,0.02546925,0.027628982,0.024769939,2.25,77.15,69.91,45.8,33.63
1/1/2016,0.013378493,-0.008180802,-0.00829904,-0.007258849,2.27,79.52,68.52,44.59,32.66
8/1/2016,-0.060606061,-0.072632329,-0.059616848,-0.061887532,2.13,68.64,56.28,35.97,24.45
15/1/2016,0.030360531,-0.033401587,-0.021695962,-0.021936521,2.03,73.76,51.06,33.02,21.72
22/1/2016,0.025955341,0.022904806,0.014133213,0.006572461,2.07,78.27,54.52,34.9,22.52
29/1/2016,-0.066808773,0.004918457,0.01749444,0.023179889,1.94,66.36,55.28,37.26,25.36
5/2/2016,-0.032399615,-0.054353426,-0.03103599,-0.015874282,1.86,60.97,46.84,33,23.37
12/2/2016,-0.010188234,-0.005856715,-0.008120301,-0.014266029,1.74,59.33,45.98,31.92,21.61
19/2/2016,0.032573903,0.038498424,0.028426319,0.026231395,1.76,64.52,51.6,35.67,24.8
26/2/2016,0.031485534,0.019063325,0.015773568,0.015064103,1.76,69.7,54.49,37.81,26.68
4/3/2016,0.002651738,0.0275746,0.026630869,0.022102937,1.88,70.15,58.75,41.48,29.48
11/3/2016,0.028151631,0.006677165,0.011096975,0.012125425,1.98,74.94,59.81,43.05,31.05
18/3/2016,-0.020121184,0.009949315,0.013561692,0.022586799,1.88,71.42,61.4,44.99,34.01
25/3/2016,-0.00793373,-0.00464684,-0.006621146,-0.004925006,1.91,70.06,60.65,44.03,33.35
1/4/2016,0.023168294,0.029567383,0.018051795,0.015823022,1.79,74,65.4,46.63,35.46
8/4/2016,0.018275862,-0.012998791,-0.012139398,-0.012106895,1.72,77.18,63.25,44.85,33.82
15/4/2016,0.01777853,0.018070444,0.01622368,0.018233448,1.76,80.33,66.2,47.2,36.26
22/4/2016,0.032107802,-0.006498195,0.005163043,0.005944518,1.89,86.12,65.12,47.96,37.07
29/4/2016,-0.006823555,-0.026707849,-0.012570965,-0.012840155,1.83,84.85,60.71,46.1,35.31
